id,kickoff_time,home_team,away_team,home_team_score,away_team_score,finished
119,2023-11-12T14:00:00Z,11,4,,,False
120,2023-11-12T14:00:00Z,19,16,,,False
121,2023-11-12T16:30:00Z,7,13,,,False
122,2023-11-25T12:30:00Z,13,11,,,False
123,2023-11-25T15:00:00Z,6,19,,,False
124,2023-11-25T15:00:00Z,12,8,,,False
125,2023-11-25T15:00:00Z,15,7,,,False
126,2023-11-25T15:00:00Z,16,5,,,False
127,2023-11-25T15:00:00Z,17,3,,,False
128,2023-11-25T17:30:00Z,4,1,,,False
129,2023-11-26T14:00:00Z,18,2,,,False
130,2023-11-26T16:30:00Z,9,14,,,False
131,2023-11-27T20:00:00Z,10,20,,,False
132,2023-12-02T15:00:00Z,1,20,,,False
133,2023-12-02T15:00:00Z,4,12,,,False
134,2023-12-02T15:00:00Z,6,17,,,False
135,2023-12-02T17:30:00Z,16,9,,,False
136,2023-12-02T20:00:00Z,15,14,,,False
137,2023-12-03T14:00:00Z,3,2,,,False
138,2023-12-03T14:00:00Z,7,5,,,False
139,2023-12-03T14:00:00Z,11,10,,,False
140,2023-12-03T14:00:00Z,19,8,,,False
141,2023-12-03T16:30:00Z,13,18,,,False
142,2023-12-05T19:30:00Z,20,6,,,False
143,2023-12-05T20:15:00Z,12,1,,,False
144,2023-12-06T19:30:00Z,5,4,,,False
145,2023-12-06T19:30:00Z,8,3,,,False
146,2023-12-06T19:30:00Z,10,16,,,False
147,2023-12-06T19:30:00Z,17,11,,,False
148,2023-12-06T20:15:00Z,2,13,,,False
149,2023-12-06T20:15:00Z,14,7,,,False
150,2023-12-07T19:30:00Z,9,15,,,False
151,2023-12-07T20:15:00Z,18,19,,,False
152,2023-12-09T12:30:00Z,8,11,,,False
153,2023-12-09T15:00:00Z,5,6,,,False
154,2023-12-09T15:00:00Z,14,3,,,False
155,2023-12-09T15:00:00Z,17,4,,,False
156,2023-12-09T15:00:00Z,20,16,,,False
157,2023-12-09T17:30:00Z,2,1,,,False
158,2023-12-10T14:00:00Z,9,7,,,False
159,2023-12-10T14:00:00Z,10,19,,,False
160,2023-12-10T14:00:00Z,12,13,,,False
161,2023-12-10T16:30:00Z,18,15,,,False
162,2023-12-15T20:00:00Z,16,18,,,False
163,2023-12-16T15:00:00Z,3,12,,,False
164,2023-12-16T15:00:00Z,7,17,,,False
165,2023-12-16T15:00:00Z,13,8,,,False
166,2023-12-16T15:00:00Z,15,10,,,False
167,2023-12-16T17:30:00Z,6,9,,,False
168,2023-12-17T14:00:00Z,1,5,,,False
169,2023-12-17T14:00:00Z,4,2,,,False
170,2023-12-17T14:00:00Z,19,20,,,False
171,2023-12-17T16:30:00Z,11,14,,,False
172,2023-12-21T20:00:00Z,8,5,,,False
173,2023-12-22T20:00:00Z,2,17,,,False
174,2023-12-23T12:30:00Z,19,14,,,False
175,2023-12-23T15:00:00Z,10,6,,,False
176,2023-12-23T15:00:00Z,12,15,,,False
177,2023-12-23T15:00:00Z,16,3,,,False
178,2023-12-23T15:00:00Z,18,9,,,False
179,2023-12-23T17:30:00Z,11,1,,,False
180,2023-12-24T13:00:00Z,20,7,,,False
181,2023-12-26T12:30:00Z,15,16,,,False
